iteration,MSE_train,MSE_validation,MSE_test,acc_train,acc_validation,acc_test,seconds_elapsed
0,0.109845556543,0.104791183548,0.106356537555,0.684647302905,0.726519337017,0.68,0.046065963
10,0.0993909151151,0.107314829817,0.0980303836089,0.775242047026,0.709944751381,0.774193548387,0.444930596
20,0.0716721547834,0.0765432815035,0.0791485177,0.811203319502,0.78729281768,0.767741935484,0.860960073
30,0.0773167667436,0.0836560120216,0.0873812302951,0.806362378976,0.790055248619,0.757419354839,1.290848261
40,0.0651432100075,0.0689378488809,0.0725766667269,0.838174273859,0.812154696133,0.806451612903,1.708841056
50,0.0669416537333,0.0704862991682,0.0722894831893,0.836791147994,0.831491712707,0.802580645161,2.128660134
60,0.0585015088485,0.0603698794717,0.0635758669196,0.86652835408,0.85635359116,0.849032258065,2.54075857
70,0.0608149375553,0.0636008052765,0.0667538935116,0.8540802213,0.853591160221,0.842580645161,2.961040556
80,0.0588488994069,0.0599709493394,0.0644956386731,0.86030428769,0.845303867403,0.836129032258,3.391063201
90,0.0594449885271,0.0616304064233,0.0655218979672,0.858921161826,0.850828729282,0.838709677419,3.817367842
